Horizon,RMSE (kW),MAE (kW),MAPE (%),R²,Training time
10-min,0.08997655489443278,0.044890142360247236,930905.6954675872,0.8831417734181751,1 m 17 s
20-min,0.10363135994529114,0.05397299859128339,930906.7155205874,0.8449893926327103,1 m 17 s
30-min,0.11605051096534277,0.06264862305108891,930907.5097714063,0.8056199942397767,1 m 17 s
40-min,0.12740606635344875,0.07076384541674592,930908.151278921,0.7657302871215669,1 m 17 s
50-min,0.13880401483521887,0.07868194673407772,930909.0365307799,0.7219528536687287,1 m 17 s
60-min,0.1503503549477043,0.0867625446078491,930909.8766485013,0.673786629640896,1 m 17 s
120-min,0.2128186643253789,0.12932450890110253,930914.3996281003,0.3465941498733053,1 m 17 s
180-min,0.2702213863130285,0.17151107821230688,930918.5475478353,0.0,1 m 17 s
